SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,391,Texas,Refugio County,12,0,6948,3436,3512,3033,3208,253,182,44,39,32,30,0,0,74,53
50,48,393,Texas,Roberts County,12,0,854,423,431,411,408,0,1,2,9,0,2,0,0,10,11
50,48,395,Texas,Robertson County,12,0,17074,8396,8678,6502,6493,1575,1869,86,95,82,63,5,7,146,151
50,48,397,Texas,Rockwall County,12,0,104915,51816,53099,44681,45832,3971,3812,469,413,1537,1845,61,60,1097,1137
50,48,399,Texas,Runnels County,12,0,10264,5201,5063,4802,4733,151,114,97,85,83,63,3,2,65,66
50,48,401,Texas,Rusk County,12,0,54406,29236,25170,22694,20211,5501,4020,323,254,200,186,27,21,491,478
50,48,403,Texas,Sabine County,12,0,10542,5160,5382,4609,4865,380,349,50,59,15,26,3,3,103,80
50,48,405,Texas,San Augustine County,12,0,8237,4061,4176,3115,3117,815,939,46,28,11,18,0,1,74,73
50,48,407,Texas,San Jacinto County,12,0,28859,14367,14492,12477,12549,1346,1392,157,141,64,93,14,8,309,309
50,48,409,Texas,San Patricio County,12,0,66730,33647,33083,31627,31134,761,627,348,324,359,453,53,53,499,492
50,48,411,Texas,San Saba County,12,0,6055,3280,2775,2962,2608,206,36,42,48,14,25,0,0,56,58
50,48,413,Texas,Schleicher County,12,0,2793,1386,1407,1320,1318,26,24,12,18,5,7,0,0,23,40
50,48,415,Texas,Scurry County,12,0,16703,9028,7675,7975,7123,680,235,138,97,80,53,6,3,149,164
50,48,417,Texas,Shackelford County,12,0,3265,1595,1670,1511,1585,34,26,19,15,3,12,1,1,27,31
50,48,419,Texas,Shelby County,12,0,25274,12536,12738,9905,9865,2083,2408,138,126,201,144,10,11,199,184
50,48,421,Texas,Sherman County,12,0,3022,1576,1446,1480,1382,42,15,20,20,12,13,0,0,22,16
50,48,423,Texas,Smith County,12,0,232751,112259,120492,88124,92851,19213,22233,992,979,1772,2065,88,158,2070,2206
50,48,425,Texas,Somervell County,12,0,9128,4508,4620,4232,4323,68,48,69,88,42,54,3,1,94,106
50,48,427,Texas,Starr County,12,0,64633,31537,33096,31061,32677,145,117,145,125,77,80,10,5,99,92
50,48,429,Texas,Stephens County,12,0,9366,4932,4434,4548,4200,197,83,70,56,48,31,4,3,65,61
50,48,431,Texas,Sterling County,12,0,1291,653,638,608,598,19,8,14,16,3,2,0,1,9,13
50,48,433,Texas,Stonewall County,12,0,1350,658,692,606,631,23,22,11,12,8,9,0,0,10,18
50,48,435,Texas,Sutton County,12,0,3776,1928,1848,1856,1774,25,11,26,25,8,12,0,1,13,25
50,48,437,Texas,Swisher County,12,0,7397,3955,3442,3370,3039,424,214,55,67,15,36,6,6,85,80
50,48,439,Texas,Tarrant County,12,0,2102515,1027836,1074679,754362,772436,176833,198719,9352,9184,58121,64028,2608,2695,26560,27617
50,48,441,Texas,Taylor County,12,0,138034,67130,70904,57006,60567,5942,5604,670,728,1322,1895,105,107,2085,2003
50,48,443,Texas,Terrell County,12,0,776,391,385,350,357,11,2,14,14,6,3,0,0,10,9
50,48,445,Texas,Terry County,12,0,12337,6506,5831,5907,5410,366,214,88,79,35,40,2,7,108,81
50,48,447,Texas,Throckmorton County,12,0,1501,718,783,694,745,6,8,8,12,2,6,0,0,8,12
50,48,449,Texas,Titus County,12,0,32750,16045,16705,13632,14124,1520,1726,426,367,189,198,29,25,249,265
50,48,451,Texas,Tom Green County,12,0,119200,59315,59885,53497,54516,2828,2388,684,679,815,884,121,96,1370,1322
50,48,453,Texas,Travis County,12,0,1273954,643738,630216,514852,500598,56003,57255,7828,7423,47356,47172,800,781,16899,16987
50,48,455,Texas,Trinity County,12,0,14651,7040,7611,6195,6651,621,690,61,94,30,46,4,6,129,124
